Longitude,Latitude,condensing_tower,chimney,power_plant_unit,total_score,probs0,probs1,preds
119.4771314,36.07638909,0.423849243,0.17723731,0.760585517,1.361672069,0.022040043,0.977959931,1
118.3061149,34.95758177,0.650430995,0.209583296,0.485015124,1.345029415,0.000193526,0.999806464,1
115.5417126,34.90508752,0,0.213726922,1.123444393,1.337171315,0.003405699,0.99659425,1
118.1638235,37.70600896,0.517720872,0.3371286,0.481723905,1.336573376,0.090405412,0.909594595,1
117.8116673,36.10846645,0.500719187,0.379624177,0.452483207,1.33282657,0.002026948,0.997973025,1
118.073484,38.07715493,0,0.339188391,0.988895029,1.32808342,0.02165048,0.978349566,1
115.3494278,35.81644613,0.629122012,0.198832738,0.496377796,1.324332546,0.148148626,0.851851344,1
118.0808913,36.86677123,0.421722728,0.178957868,0.705992028,1.306672623,0.027093614,0.972906411,1
117.7078926,34.5745089,0.418649957,0.083256906,0.780427665,1.282334528,0.002551726,0.997448325,1
116.4756613,35.48868976,0.667951277,0.198437941,0.41515407,1.281543287,0.219548553,0.780451417,1
116.7379867,35.42746945,0.518545714,0.275759732,0.481769055,1.276074502,0.016153319,0.983846664,1
117.7766145,37.35929127,0.487845222,0.169515491,0.617555812,1.274916525,0.001807626,0.99819237,1
120.218647,36.03890882,0,0.439207796,0.833821803,1.273029599,2.69E-05,0.999973059,1
116.4385863,37.18512732,0.515502591,0.273852242,0.483133256,1.272488089,0.014307305,0.985692739,1
115.6876499,35.2533675,0.594718069,0.165712739,0.493834972,1.25426578,0.0330812,0.966918766,1
117.7973134,36.88712868,0.299932355,0,0.954203635,1.25413599,0.006928237,0.993071735,1
120.3293566,36.1125334,0,0.280832974,0.964289874,1.245122848,0.039286565,0.960713446,1
119.5105782,35.34579788,0,0.24644638,0.992549866,1.238996246,0.040065486,0.959934592,1
122.0771461,37.17536963,0.599554253,0.168768537,0.466024458,1.234347248,0.052189186,0.947810769,1
120.3130406,37.680906,0.295695627,0.25873313,0.673427135,1.227855892,7.25E-05,0.999927521,1
116.8966708,35.44385596,0.534919399,0.199687731,0.477826655,1.212433785,0.034587752,0.965412259,1
120.31513,36.07766987,0,0.125103211,1.07907325,1.204176462,0.046855155,0.953144848,1
116.319431,35.7728462,0,0.275015014,0.912876159,1.187891173,0.039881177,0.96011883,1
118.0402075,36.97808075,0.421357213,0.26828859,0.497480512,1.187126315,0.039209273,0.960790694,1
116.4712378,37.21066671,0,0.342453637,0.843470722,1.18592436,3.25E-05,0.999967575,1
118.2006492,36.86894746,0.100703984,0.249157189,0.830675185,1.180536359,0.030430106,0.969569862,1
115.7712136,36.87580023,0,0.271860287,0.898895264,1.17075555,0.024653919,0.975346029,1
117.1785899,35.63694026,0.517810451,0.177466691,0.474921197,1.170198339,0.050418977,0.949580967,1
118.4968448,36.72019492,0.42391656,0.246154201,0.499110907,1.169181668,0.045248725,0.954751253,1
117.4075641,36.728793,0.424094904,0.262624945,0.479540676,1.166260525,0.122861937,0.877138078,1
121.1953015,37.55188981,0,0,1.164921269,1.164921269,0.004556685,0.995443344,1
119.7702734,36.43212755,0.299924165,0.38115049,0.480681539,1.161756194,0.043796133,0.956203818,1
117.1099625,34.94016531,0.492915434,0.186976933,0.481648058,1.161540425,0.081806086,0.918193936,1
117.7001449,36.94434477,0.298003185,0.194968009,0.667246208,1.160217401,0.000341485,0.999658465,1
116.2553146,37.47045114,0,0.179514503,0.978535652,1.158050156,0.069053762,0.93094629,1
118.0943943,36.79480622,0.599769053,0.19838016,0.356923282,1.155072495,0.000217402,0.999782622,1
118.1708789,36.77680445,0,0.281124461,0.870819539,1.151944,0.040057901,0.959942162,1
115.828814,36.49029072,0,0.266345753,0.884260893,1.150606646,0.040398225,0.9596017,1
118.4898431,37.00879004,0.489236315,0.179215341,0.480389237,1.148840893,0.170590028,0.829410017,1
122.1216471,37.33157944,0.463164662,0.190521949,0.494958609,1.14864522,0.000494353,0.999505639,1
117.4849107,37.02436843,0.599855447,0.157351065,0.390009612,1.147216123,0.009141872,0.990858138,1
116.242032,37.44890319,0,0.274899035,0.849008501,1.123907535,0.040443383,0.959556639,1
115.9699941,36.48002178,0.423819858,0.19983325,0.497173518,1.120826626,0.047631484,0.952368557,1
116.4732814,35.48573878,0.423571554,0.273688021,0.421937078,1.119196653,0.000974921,0.999025106,1
117.4614397,36.9014394,0.298899132,0.265998118,0.551831484,1.116728733,0.000140171,0.99985981,1
118.0798272,37.00751168,0.423383562,0.201030007,0.491909891,1.11632346,0.00040096,0.99959904,1
118.0396709,37.37775926,0.423632511,0,0.691944331,1.115576842,0.036435775,0.963564217,1
116.8443523,37.18325681,0.423990907,0.199396861,0.480970711,1.104358478,0.047608994,0.952391028,1
117.5137865,34.8290963,0.424139689,0.196286225,0.482420534,1.102846448,0.003483825,0.996516109,1
117.0670013,36.05172004,0.424033176,0.18314301,0.49483943,1.102015616,0.047597758,0.952402174,1
118.4525276,37.97838124,0,0.157014755,0.940201342,1.097216097,0.043482106,0.956517875,1
118.1661228,37.14374818,0.423559163,0.183134365,0.488951594,1.095645121,0.000369256,0.99963069,1
118.3839583,37.41459263,0.102828035,0.284957435,0.701253369,1.089038839,0.006172433,0.993827522,1
118.1339311,36.88576238,0.51927531,0.092457068,0.47315833,1.084890707,0.000168891,0.99983108,1
118.5313811,37.40064039,0,0.317123658,0.75800705,1.075130708,0.022290684,0.977709293,1
120.370781,36.17774236,0.424061005,0.19973321,0.450011671,1.073805885,0.047569126,0.952430844,1
117.841557,36.47099963,0.477471855,0.236286688,0.359447092,1.073205635,0.000594287,0.999405742,1
116.6655586,35.27039374,0.505927922,0.110912085,0.456283063,1.07312307,0.001590464,0.998409569,1
118.3244156,35.00317472,0.424055265,0.147029984,0.496372849,1.067458098,0.047455631,0.952544391,1
118.0963239,36.7001544,0.386834911,0.19444524,0.484955221,1.066235373,0.047481373,0.952518642,1
116.6246856,35.41124411,0.519139469,0.247392046,0.298195839,1.064727353,0.032004502,0.967995465,1
117.8629392,36.89682728,0.135498038,0,0.928957224,1.064455262,0.059961881,0.940038145,1
116.2295649,36.61437583,0.382599476,0.194786356,0.484820396,1.062206227,0.002617634,0.997382343,1
117.6276317,36.22256009,0.402095564,0.185256255,0.47119996,1.058551778,0.047480386,0.952519655,1
120.436846,37.3884656,0.422486441,0.180198407,0.455750912,1.058435761,0.047506917,0.952493131,1
119.3633564,35.15172058,0.298467708,0.297431265,0.462350905,1.058249878,0.123259969,0.876739979,1
118.1864502,36.18230096,0.298248321,0.260504107,0.495198607,1.053951036,0.068040714,0.931959212,1
116.7108993,36.19737605,0.298468977,0.28122703,0.473992974,1.053688981,0.053353764,0.946646214,1
118.5316959,36.81088834,0.316698945,0.274825067,0.460425854,1.051949866,0.035654869,0.964345157,1
115.5337605,35.24164811,0,0.271506491,0.779052258,1.050558749,0.041188493,0.958811462,1
119.7195498,35.62940881,0,0.300324142,0.747876853,1.048200995,0.029439408,0.97056061,1
121.031785,37.47579986,0.29985441,0.249638936,0.491032809,1.040526155,0.000769082,0.999230981,1
117.2168771,35.66504734,0.277485884,0,0.762224466,1.039710349,0.039309084,0.960690916,1
116.3042924,37.16074462,0.355681478,0.199700737,0.482333809,1.037716024,0.070714705,0.929285288,1
117.1170057,35.89560842,0.42403554,0.141657436,0.471881479,1.037574455,0.04740528,0.952594697,1
120.4179429,36.31304124,0.36616704,0.168399259,0.496250927,1.030817227,0.04900948,0.950990498,1
116.3343402,36.48653202,0,0.257685326,0.772517145,1.030202471,0.032451488,0.967548549,1
116.2683704,36.35376304,0.423919189,0.111837292,0.493649751,1.029406232,0.010318819,0.989681184,1
117.5391265,34.74233819,0.299895501,0.237255847,0.488601357,1.025752704,0.054260463,0.945739567,1
115.6402657,35.07898383,0,0.220241265,0.804262608,1.024503873,0.042643752,0.957356215,1
119.491563,35.38326447,0.299751163,0,0.723893821,1.023644984,0.05761528,0.94238466,1
120.5246788,36.34693008,0.299610686,0.276047528,0.440321207,1.015979421,0.000742931,0.999257028,1
116.8014744,35.53469282,0.299437648,0.252809854,0.463010371,1.015257873,0.054100286,0.945899785,1
117.5821235,34.81485218,0.296699166,0.237055913,0.480868518,1.014623597,0.001104318,0.998895645,1
118.1018967,36.89576072,0,0.062274635,0.950676143,1.012950778,0.25436461,0.74563545,1
115.574171,35.24866095,0,0.275820567,0.736278981,1.012099548,0.041441675,0.958558261,1
119.2081934,36.69658174,0.27692728,0,0.735157937,1.012085217,0.058160618,0.941839337,1
116.7899854,35.58234185,0.423793571,0.272387436,0.311650962,1.007831969,0.000272214,0.999727786,1
117.5304771,37.48013271,0.423176288,0.199118483,0.381690353,1.003985124,0.003794412,0.996205568,1
116.2219275,36.61438322,0,0.190775764,0.812013566,1.00278933,0.057602186,0.942397833,1
116.4813423,37.18552343,0.299837011,0.219850564,0.480688483,1.000376057,0.054636057,0.945363879,1
116.9485536,35.38648215,0.299704027,0.268944716,0.430687487,0.999336231,0.000476423,0.99952364,1
116.7412869,36.26015093,0.338214222,0.198510897,0.461623639,0.998348758,0.047312003,0.952687979,1
