FID,country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimated1,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8
36,CHN,China,Longgu Cogen power station,WRI1075673,110,34.952700000000000,116.802899999999994,Coal, , , ,2005,GCL-Poly Energy Holdings,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,535.990000000000009,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
37,CHN,China,Lubei power station,WRI1075675,660,38.082400000000000,117.742000000000004,Coal, , , ,2009,Datang Shandong Power Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3215.969999999999800,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
38,CHN,China,Nanshan Aluminum Donghai power station,WRI1070285,1730,37.728600000000000,120.443299999999994,Coal, , , ,2008,Shandong Nanshan Aluminum Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1066217, , , , , , , , , , , , , ,8429.750000000000000,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
39,CHN,China,Nanshan Thermal power station,WRI1075684,420,37.593100000000000,120.470399999999998,Coal, , , ,2008,Shandong Nanshan Aluminum Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,2046.529999999999973,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
40,CHN,China,Nantun Mine power station,WRI1075685,100,35.376100000000001,116.870000000000005,Coal, , , ,2003,Keao Aluminum,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,487.259999999999991,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
41,CHN,China,Qilu Works power station,WRI1075701,490,36.785200000000003,118.213099999999997,Coal, , , ,1992,Sinopec Qilu Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,2387.610000000000127,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
42,CHN,China,Qingdao power station,WRI1070310,1200,36.112299999999998,120.329099999999997,Coal, , , ,2001,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028540, , , , , , , , , , , , , ,5847.220000000000255,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
43,CHN,China,Rizhao Iron and Steel Cogen power station,WRI1075705,660,35.156199999999998,119.366600000000005,Coal, , , ,2013,Rizhao Steel Holding Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3215.969999999999800,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
44,CHN,China,Rizhao power station,WRI1070312,2060,35.344999999999999,119.511099999999999,Coal, , , ,2006,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,10037.739999999999782,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
45,CHN,China,Shandong Chenming Mill power station,WRI1075710,255,36.859200000000001,118.700100000000006,Coal, , , ,2009,Shandong Chenming Paper Holdings,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1242.529999999999973,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
