id,Filename,Label,Longitude,Latitude,Score,Class
82,shandong25,4,120.1436788,35.99631371,0.444205344,
83,shandong25,3,120.1308756,36.02684084,0.440882087,
84,shandong25,4,120.166553,36.0029055,0.433954,
85,shandong25,1,120.1876694,36.04758514,0.431728452,
86,shandong25,4,120.2116041,36.01706828,0.421781361,
87,shandong25,4,120.1660451,36.07459729,0.421769112,
88,shandong25,3,120.2072897,36.05661417,0.419533134,
89,shandong25,0,120.2133118,36.06136889,0.416113526,
90,shandong25,0,120.1870417,36.04754313,0.40938428,
91,shandong25,4,120.1378251,36.00063433,0.408193499,
92,shandong25,4,120.2179202,35.9893488,0.40685007,
93,shandong25,1,120.2080403,36.06146883,0.403072149,
94,shandong25,3,120.173774,36.06012114,0.398222417,
95,shandong25,4,120.1930002,35.98902969,0.387401164,
96,shandong25,2,120.2180892,36.03758582,0.384727448,1
97,shandong25,3,120.184404,35.99577083,0.379346967,
98,shandong25,1,120.1977962,36.05955479,0.36242488,
99,shandong25,3,120.1890403,36.05534359,0.352010936,
100,shandong25,4,120.1336155,35.98064855,0.34936747,
101,shandong25,1,120.2133007,36.060961,0.345083058,
102,shandong25,3,120.199806,35.99017622,0.338227004,
103,shandong25,3,120.1911967,35.98098967,0.332681894,
104,shandong25,1,120.2139406,36.05444688,0.33251065,
105,shandong25,1,120.1194344,36.00029074,0.330103487,
106,shandong25,4,120.2040733,36.00777342,0.327382892,
107,shandong25,1,120.2203937,36.05682639,0.326840341,
108,shandong25,3,120.2157212,36.05288834,0.321306765,
109,shandong25,3,120.1721558,35.99700236,0.320700794,
110,shandong25,4,120.2145994,35.99969316,0.310839266,
111,shandong25,3,120.1721668,36.03543957,0.308892787,
112,shandong25,3,120.1493846,35.99851226,0.308709681,
113,shandong25,0,120.1854251,36.0475028,0.298427463,
114,shandong25,0,120.1875258,36.04745435,0.298328847,
115,shandong25,4,120.1959145,35.98214524,0.293772012,1
116,shandong25,3,120.1927481,36.00075915,0.293319941,
117,shandong25,4,120.187013,35.99538244,0.29181546,
118,shandong25,3,120.1340526,36.02532155,0.28792122,
119,shandong25,4,120.1594672,36.05890052,0.28191641,
120,shandong25,4,120.1708994,36.01853186,0.278302968,
121,shandong25,4,120.1883687,36.03860281,0.275884449,
122,shandong25,1,120.1860523,36.05073395,0.274186522,
123,shandong25,4,120.1894893,36.01324072,0.273403138,
124,shandong25,4,120.1403982,36.02823452,0.269568354,
125,shandong25,4,120.2034077,36.0180216,0.268589675,
126,shandong25,4,120.192116,36.05513436,0.257891506,
127,shandong25,4,120.1368153,36.06542984,0.257601202,
128,shandong25,4,120.1931924,35.98795852,0.256549925,
129,shandong25,4,120.2082582,36.01016536,0.253871292,
130,shandong25,4,120.2181799,36.03740792,0.252974063,1
131,shandong25,4,120.219758,36.00423177,0.249806464,
132,shandong25,4,120.1574386,36.05560657,0.249010071,
133,shandong25,4,120.1762306,35.97911213,0.24843438,
134,shandong25,3,120.1558564,36.00864425,0.243706644,
135,shandong25,0,120.2115203,36.06094987,0.240607187,
136,shandong25,3,120.1728504,36.05433548,0.234088913,
137,shandong25,3,120.1866271,36.0546992,0.232633665,
138,shandong25,4,120.1736193,36.06003516,0.225997239,
139,shandong25,3,120.1356538,35.99718709,0.225101262,
140,shandong25,2,120.2190066,36.04016255,0.224241063,1
141,shandong25,4,120.1890031,36.00046367,0.223647192,
142,shandong25,3,120.1224039,36.02394477,0.222097158,
143,shandong25,3,120.1891162,36.05417177,0.213526368,
144,shandong25,4,120.1877092,36.01406036,0.209692836,
145,shandong25,3,120.144554,36.00724798,0.20876348,
146,shandong25,0,120.2075053,36.05999312,0.207592115,
147,shandong25,4,120.1862854,36.05469349,0.205984026,
148,shandong25,4,120.2106986,36.01776552,0.203444377,
149,shandong25,0,120.1867966,36.04897408,0.20325011,
150,shandong25,1,120.2082925,36.06120745,0.200194225,
151,shandong25,4,120.2192153,35.99084186,0.199808002,
152,shandong25,3,120.1808881,36.05610835,0.198496521,
153,shandong25,0,120.1824067,36.04941004,0.19839631,
154,shandong25,4,120.2011468,36.01329421,0.197830111,
155,shandong25,4,120.1576768,36.07696255,0.197582439,
156,shandong25,1,120.2204687,36.05612935,0.192498073,
157,shandong25,4,120.1857184,36.05671248,0.192135304,
158,shandong25,1,120.2138903,36.05266686,0.190165237,
159,shandong25,4,120.196435,36.01226899,0.188251033,
160,shandong25,3,120.1570406,36.02681171,0.187075719,
161,shandong25,4,120.1948027,36.01420587,0.186215311,
162,shandong25,3,120.1559433,36.03727701,0.184373811,
