country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,Beian power station,WRI1070507,100,48.2328,126.5287,Coal,,,,1997,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1058772,,,,,,,,,,,,,,487.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beihai Bebuwan power station,WRI1070616,640,21.5821,109.581,Coal,,,,2004,SDIC Huajing Power Holdings Ltd Electric Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1062675,,,,,,,,,,,,,,3118.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beihai New Area Heating power station,WRI1070490,900,38.0229,117.9726,Coal,,,,2014,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,4385.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beijing - Shijingshan Coal,WRI1070135,880,39.923,116.1375,Coal,,,,1988,Beijing Energy Investment Holding Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33243-beijing-shijingshan-coal-power-plant,Industry About,,,,,,,,,,,,,,,4287.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Beitun Cogen power station,WRI1075576,270,47.325,87.7678,Coal,,,,2016,Xinjiang Tunfu Cogen Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1315.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bijie power station,WRI1070466,300,27.2765,105.3479,Coal,,,,2009,China Huadian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1086094,,,,,,,,,,,,,,1461.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Binhai Port Unit 1,WRI1072550,2000,34.3071,120.2469,Coal,,,,,,SPIC,http://www.spic.com.cn/mtbd/201711/t20171121_282894.htm,WRI,,,,,,,,,,,,,,,9745.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Binzhou - Huji 1-4 Coal,WRI1070494,1320,37.3495,117.7784,Coal,,,,2014,Weiqiao Huimin New Material Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33449-binzhou-huji-1-4-coal-power-plant,Industry About,,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Binzhou Heating Supply Center power station,WRI1070718,780,37.3482,117.8909,Coal,,,,2012,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3800.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bohe Coal,WRI1070185,2000,22.9657,112.1079,Coal,,,,2015,Guangdong Electric Power Development Co Ltd,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25866-bohe-coal-power-plant,Industry About,,,,,,,,,,,,,,,9745.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bole Cogen power station,WRI1075577,300,44.8617,82.1179,Coal,,,,2016,Xinjiang Chuxing Energy Co.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1461.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Bulian power station,WRI1070035,1320,39.3012,109.9682,Coal,,,,2013,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1083665,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CHALCO Shandong Branch Power Station,WRI1075578,138,36.7484,118.0694,Coal,,,,2012,CHALCO Shandong Branch,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,672.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CKI Lamma power station,WRI1070189,2500,22.2185,114.1082,Coal,,,,1989,Hongkong Electric Company (HKC),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1018728,,,,,,,,,,,,,,12181.72,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CNPC Fushun Petrochemical power station,WRI1075579,280,41.8275,124.0455,Coal,,,,2009,Fushun Petrochemical Company,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1364.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Baicheng power station,WRI1070359,1320,45.5261,122.7759,Coal,,,,2010,CPI Jilin Power Share Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1071738,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Changshu-1 power station,WRI1070281,3320,31.7563,120.9731,Coal,,,,2005,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,Industry About,1058769,,,,,,,,,,,,,,16177.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Chifeng Daban power station,WRI1070040,1200,43.5893,118.7119,Coal,,,,2013,Mengdong Energy Group Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1087934,,,,,,,,,,,,,,5847.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Chifeng New City Region power station,WRI1075580,600,42.2934,118.9133,Coal,,,,2017,Mengdong Energy Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Dabieshan power station,WRI1070775,1200,31.1419,114.8922,Coal,,,,2008,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1086091,,,,,,,,,,,,,,5847.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Fenyi power station,WRI1070091,540,27.7754,114.6173,Coal,,,,2006,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1058778,,,,,,,,,,,,,,2631.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Huolinhe power station,WRI1070423,1200,45.4616,119.5386,Coal,,,,2008,Hangzhou Jinjiang Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,5847.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Nanyang power station,WRI1070655,420,33.0306,112.5108,Coal,,,,2008,CPI Henan Electric Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1065468,,,,,,,,,,,,,,2046.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Ningxia Zaoquan power station,WRI1075581,1320,38.0462,106.6058,Coal,,,,2017,China Power Investment and Ningxia Power Generation Co.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Pingwei power station,WRI1070763,4540,32.6842,116.9021,Coal,,,,2006,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1010203,,,,,,,,,,,,,,22122.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Qinghe power station,WRI1070525,1600,42.5299,124.1403,Coal,,,,1995,CPI Northeast Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1024405,,,,,,,,,,,,,,7796.3,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Shanxi Houma power station,WRI1070821,700,35.5911,111.3757,Coal,,,,2012,Zhangze Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1059311,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Shentou power station,WRI1070592,1320,39.5508,112.4887,Coal,,,,1998,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
