,province
923,陕西省
924,山东省
925,山东省
926,江西省
927,辽宁省
928,黑龙江省
929,山东省
930,山东省
931,山东省
932,宁夏回族自治区
933,河北省
934,山西省
935,广西壮族自治区
936,广西壮族自治区
937,广西壮族自治区
938,陕西省
939,山西省
940,河北省
941,河北省
942,甘肃省
943,江苏省
944,福建省
945,山东省
946,贵州省
947,山西省
948,河南省
949,浙江省
950,河北省
951,贵州省
