GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
G100000104011,L100000101637,China,https://www.gem.wiki/Huadian_Changji_power_station,Huadian Changji power station,Phase III Unit 5,,华电新疆昌吉热电厂,Xinjiang Huadian Changji Thermoelectricity Co Ltd [100%],China Huadian Group Corp [51.0%]; Changji State-owned Assets Investment Management Group Co Ltd [49.0%],330,operating,2011,,,subcritical,bituminous,,,Binhu Xiang,Changji,Changji Hui Autonomous Prefecture,Xinjiang,Eastern Asia,Asia,44.06325,87.326558,exact,20-Aug-09,20-Aug-09,"Year: 2009, Month: 8, Day: 20",,,,13,0.53,10442.4,94600,1.59690885,27,43.11653896
G100000104015,L100000101471,China,https://www.gem.wiki/Huadian_Datong-1_power_station,Huadian Datong-1 power station,Unit 12,,华电大同第一热电,Shanxi Jinneng Group Datong Thermoelectricity Co Ltd [100%],China Huadian Group Corp [100.0%],135,retired,2005,2018,,subcritical,waste coal,,,Laopingwang,Nanjiao,Datong,Shanxi,Eastern Asia,Asia,40.066343,113.21841,exact,,,,,,,13,0.53,11312.6,94600,0.707720968,0,0
G100000104147,L100000101641,China,https://www.gem.wiki/Huadian_Gaochang_Cogen_power_station,Huadian Gaochang Cogen power station,Unit 1,"Huadian Turpan Cogen power station, 华电吐鲁番发电",华电新疆高昌热电厂,Xinjiang Huadian Gaochang Thermal Power Co Ltd [100%],China Huadian Group Corp [100.0%],350,operating,2020,,,supercritical,unknown,,,Ya‘er Town,Gaochang,Turpan,Xinjiang,Eastern Asia,Asia,42.879651,89.167144,exact,26-Jun-15,26-Jun-15,"Year: 2015, Month: 6, Day: 26",,,,4,0.53,9249.9,96100,1.52406397,36,54.86630292
G100000104035,L100000101638,China,https://www.gem.wiki/Huadian_Hami_power_station,Huadian Hami power station,Phase III Unit 5,"华电新疆伊州热电厂 (Phase IV Unit 7, Phase IV Unit 8), 华电哈密热电厂四期 (Phase IV Unit 7, Phase IV Unit 8)",华电新疆哈密热电厂,Xinjiang Huadian Hami Thermal Power Co Ltd [100%],China Huadian Group Corp [100.0%],135,operating,2003,,,unknown,unknown,,,Erpu Town Huoshiquan,Hami,Hami,Xinjiang,Eastern Asia,Asia,42.893385,93.440788,exact,,,,,,,21,0.53,12047,96100,0.765615634,19,14.54669704
G100000104071,L100000101639,China,https://www.gem.wiki/Huadian_Kashi_power_station,Huadian Kashi power station,Phase III Unit 5,"喀什华电2×66万千瓦热电联产项目 (Phase III Unit 7, 8), 新疆华电喀什2×66万千瓦燃煤热电项目",华电新疆喀什热电厂,Xinjiang Huadian Kashi Thermal Power Co Ltd [100%],China Huadian Group Corp [99.7%]; other [0.3%],350,operating,2014,,,supercritical,unknown,,,Haohan Xiang,Kashgar (Kashi),Kashgar,Xinjiang,Eastern Asia,Asia,39.4815702,76.0498524,exact,11-Sep,11-Sep,"Year: 2011, Month: 9",,,,10,0.53,10090.8,96100,1.66261524,30,49.8784572
G100000104075,L100000101339,China,https://www.gem.wiki/Huadian_Laizhou_power_station,Huadian Laizhou power station,Phase II Unit 3,,华电国际莱州发电厂,Huadian Laizhou Power Generation Co Ltd [100%],Huadian Power International Co Ltd [75.0%]; Shandong Development Investment Holding Group Co Ltd [17.5%]; Shandong Guohui Investment Co Ltd [5.0%]; Shandong Caixin Asset Operation Co Ltd [2.5%],1000,operating,2019,,,ultra-supercritical,bituminous,,,Jincheng Town,Laizhou,Yantai,Shandong,Eastern Asia,Asia,37.432222,120.018056,exact,10-Sep-15,10-Sep-15,"Year: 2015, Month: 9, Day: 10",,,,5,0.53,8272,94600,3.833331595,35,134.1666058
G100000104084,L100000101340,China,https://www.gem.wiki/Huadian_Longkou_power_station,Huadian Longkou power station,Phase III Unit 5,,华电龙口发电厂,Shandong Bainian Electric Power Development Co Ltd [100%],Huadian Power International Co Ltd [100.0%],220,operating,1995,,,subcritical,anthracite,,,Huanghe Ying,Longkou,Yantai,Shandong,Eastern Asia,Asia,37.680335,120.313152,exact,,,,,,,29,0.53,12182.8,98300,1.290618957,11,14.19680852
G100000104133,L100000101474,China,https://www.gem.wiki/Huadian_Shuozhou_power_station,Huadian Shuozhou power station,Unit 1,,华电国际朔州热电,Shuozhou Thermal Power Branch of Huadian International Power Co Ltd [100%],Huadian Power International Co Ltd [100.0%],350,operating,2015,,,supercritical,unknown,,,Muzhai village,Shuocheng,Shuozhou,Shanxi,Eastern Asia,Asia,39.358027,112.483542,exact,7-Sep-10,7-Sep-10,"Year: 2010, Month: 9, Day: 7",,,,9,0.53,9249.9,96100,1.52406397,31,47.24598307
G100000104145,L100000101642,China,https://www.gem.wiki/Huadian_Turpan_power_station,Huadian Turpan power station,Phase I Unit 1,,华电吐鲁番发电厂,Sinkiang Tuhuadian Tulufan Power Generation Co Ltd [100%],China Huadian Group Corp [98.4%]; other [1.6%],135,retired,2006,2019,,subcritical,bituminous,,,South of the County,Toksun (Tuokexun),Turpan,Xinjiang,Eastern Asia,Asia,42.730583,88.617,exact,,,,,,,13,0.53,11312.6,94600,0.707720968,0,0
G100000104149,L100000101643,China,https://www.gem.wiki/Huadian_Urumqi_power_station,Huadian Urumqi power station,Unit 1,,华电新疆乌鲁木齐热电,"Urumqi Thermal Power Plant, Huadian Xinjiang Power Generation Co Ltd [100%]",China Huadian Group Corp [100.0%],330,operating,2009,,,subcritical,unknown,,,Badaowan,Shuimogou,Ürümqi,Xinjiang,Eastern Asia,Asia,43.901111,87.6975,exact,8-Feb,8-Feb,"Year: 2008, Month: 2",,,,15,0.53,10442.4,96100,1.622229815,25,40.55574538
